"","example1","example2","example3","example4","example5","example6","example7","example8","example9","example10","example11","example12"
"NEG_A",12,10,7,15,3,11,14,10,8,8,12,14
"NEG_B",7,6,7,6,4,11,4,6,4,4,10,10
"NEG_C",5,1,7,1,1,8,6,4,4,3,5,3
"NEG_D",14,11,6,11,5,9,18,10,14,8,13,5
"NEG_E",17,12,9,14,9,13,9,14,12,8,18,11
"NEG_F",13,14,13,17,10,18,12,14,12,19,11,12
"NEG_G",6,4,4,1,5,2,2,5,1,6,5,1
"NEG_H",9,2,2,1,1,3,1,6,2,8,3,2
"POS_A",35775,31001,33963,32459,31138,32238,28619,33854,26380,27721,31821,31131
"POS_B",11398,10240,11727,10182,9882,10197,9252,10701,8639,8955,10524,10171
"POS_C",3028,2803,3079,2731,2683,2759,2478,2830,2383,2416,2801,2618
"POS_D",828,660,795,727,736,733,677,762,629,585,709,688
"POS_E",139,110,117,106,122,114,102,126,97,107,103,117
"POS_F",58,74,65,57,49,53,50,82,43,57,66,51
